language,id,text,file,node,lineNumber,lock,comment
en-US,line:059,Rotta: We-we-we have to stop the bleeding!,Assets/YS/Intro/QuickTest.yarn,QuickTest,62,49ecc044,
en-US,line:060,Osseus: The wound is too deep…,Assets/YS/Intro/QuickTest.yarn,QuickTest,63,0cbb335b,
en-US,line:061,"Baelor: Come closer Gobkin. <br>It’s up to you now, my boy. Take this. Use it. You’ll learn how. <br>You are the dungeon master now. Remember what I taught you, lead with compassion, not cruelty. Take care of them. <br>I wasn’t ready… there was so much to do. <br>Be good to each other… Make this dungeon a home…",Assets/YS/Intro/QuickTest.yarn,QuickTest,64,2387efac,
en-US,line:062,Rotta: Now what do we do?,Assets/YS/Intro/QuickTest.yarn,QuickTest,65,83e0666a,
en-US,line:063,Osseus: We carry on! As we always have!,Assets/YS/Intro/QuickTest.yarn,QuickTest,66,0f516b48,
en-US,line:064,Rotta: Well we’ve always had a dungeon master too! <br>You can’t have a dungeon without a dungeon master!,Assets/YS/Intro/QuickTest.yarn,QuickTest,67,7e2704a3,
en-US,line:065,Gobkin: I…I dunwon master.,Assets/YS/Intro/QuickTest.yarn,QuickTest,68,75be42c6,
en-US,line:066,"Rotta: He was dying! He wasn’t thinking straight. Give me that, I’ll –",Assets/YS/Intro/QuickTest.yarn,QuickTest,69,8c3b5a8e,
en-US,line:067,Rotta: What…?,Assets/YS/Intro/QuickTest.yarn,QuickTest,70,0a2a4dab,
en-US,line:068,Osseus: Seems he is indeed the dungeon master.,Assets/YS/Intro/QuickTest.yarn,QuickTest,71,4e394f0a,
en-US,line:069,Rotta: Then we’re doomed.,Assets/YS/Intro/QuickTest.yarn,QuickTest,72,a7b2052b,
en-US,line:070,"Osseus: Perhaps, but, we’re doomed anyway. Shouldn’t we at least try? <br>Or would you prefer to just lay down and die?",Assets/YS/Intro/QuickTest.yarn,QuickTest,73,c166aeb8,
en-US,line:071,Rotta: Never! <br>Where to Gobkin!?,Assets/YS/Intro/QuickTest.yarn,QuickTest,74,61adeb5f,
